2026-08-18 06:33 AM ET  |  pulled 749 orders  |  0 moved stage  |  tracking 743
2026-08-18 07:03 AM ET  |  pulled 749 orders  |  0 moved stage  |  tracking 743
2026-08-18 07:43 AM ET  |  pulled 749 orders  |  18 moved stage  |  tracking 743
2026-08-18 08:14 AM ET  |  pulled 749 orders  |  6 moved stage  |  tracking 743
2026-08-18 09:13 AM ET  |  pulled 749 orders  |  2 moved stage  |  tracking 743
2026-08-18 10:00 AM ET  |  pulled 749 orders  |  7 moved stage  |  tracking 743
2026-08-18 10:46 AM ET  |  pulled 750 orders  |  26 moved stage  |  tracking 743
2026-08-18 11:36 AM ET  |  pulled 760 orders  |  27 moved stage  |  tracking 752
2026-08-18 12:04 PM ET  |  pulled 760 orders  |  8 moved stage  |  tracking 759
2026-08-18 12:20 PM ET  |  pulled 762 orders  |  13 moved stage  |  tracking 762
2026-08-18 12:49 PM ET  |  pulled 768 orders  |  4 moved stage  |  tracking 769
2026-08-18 01:19 PM ET  |  pulled 760 orders  |  21 moved stage  |  tracking 770
2026-08-18 01:22 PM ET  |  pulled 760 orders  |  1 moved stage  |  tracking 770
2026-08-18 01:31 PM ET  |  pulled 759 orders  |  14 moved stage  |  tracking 770
2026-08-18 02:03 PM ET  |  pulled 761 orders  |  2 moved stage  |  tracking 771
2026-08-18 02:58 PM ET  |  pulled 762 orders  |  17 moved stage  |  tracking 774
2026-08-18 03:34 PM ET  |  pulled 759 orders  |  4 moved stage  |  tracking 775
2026-08-18 03:59 PM ET  |  pulled 759 orders  |  10 moved stage  |  tracking 776
2026-08-18 04:34 PM ET  |  pulled 755 orders  |  11 moved stage  |  tracking 779
2026-08-18 05:02 PM ET  |  pulled 755 orders  |  18 moved stage  |  tracking 783
2026-08-18 05:37 PM ET  |  pulled 754 orders  |  4 moved stage  |  tracking 788
2026-08-18 05:39 PM ET  |  pulled 754 orders  |  1 moved stage  |  tracking 788
2026-08-18 05:52 PM ET  |  pulled 753 orders  |  3 moved stage  |  tracking 788
2026-08-18 05:56 PM ET  |  pulled 753 orders  |  1 moved stage  |  tracking 788
2026-08-18 06:16 PM ET  |  pulled 753 orders  |  1 moved stage  |  tracking 788
2026-08-18 06:43 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 06:59 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 07:24 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 07:41 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 07:48 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 07:50 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 08:00 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 08:10 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 08:20 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 08:30 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 08:40 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 08:42 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 08:50 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 09:00 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 09:10 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 09:20 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 09:30 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 09:40 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 09:50 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 10:00 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 10:07 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 10:10 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 10:20 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 10:30 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 10:40 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 10:50 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 11:00 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 11:07 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 11:10 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 11:20 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 11:30 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 11:40 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 11:50 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-18 11:55 PM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 12:00 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 12:10 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 12:20 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 12:29 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 12:30 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 12:40 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 12:50 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 01:00 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 01:03 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 01:10 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 01:20 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 01:30 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 01:39 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 01:40 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 01:50 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 02:00 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 02:01 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 02:10 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 02:20 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 02:30 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 02:40 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 02:50 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 03:00 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 03:10 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 03:20 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 03:30 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 03:40 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 03:49 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 03:50 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 04:00 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 04:10 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 04:18 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 04:20 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 04:30 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 04:40 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 04:50 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 04:58 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 05:00 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
2026-08-19 05:10 AM ET  |  pulled 753 orders  |  0 moved stage  |  tracking 788
